Report Refresh Date,User Principal Name,Is Deleted,Deleted Date,Last Activity Date,Viewed Or Edited File Count,Synced File Count,Shared Internally File Count,Shared Externally File Count,Visited Page Count,Assigned Products,Report Period
2021-12-28,MeganB@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,JoniS@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,LynneR@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,IsaiahL@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,AlexW@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,PradeepG@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,PattiF@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,admin@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,AdeleV@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,LeeG@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,JohannaL@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,HenriettaM@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,NestorW@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,LidiaH@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,GradyA@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,MiriamG@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
2021-12-28,DiegoS@s5fr.onmicrosoft.com,False,,,0,0,0,0,0,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING),30
