Report Refresh Date,User Principal Name,Display Name,Is Deleted,Deleted Date,Created Date,Last Activity Date,Item Count,Storage Used (Byte),Issue Warning Quota (Byte),Prohibit Send Quota (Byte),Prohibit Send/Receive Quota (Byte),Deleted Item Count,Deleted Item Size (Byte),Deleted Item Quota (Byte),Has Archive,Report Period
2021-12-28,LynneR@s5fr.onmicrosoft.com,Lynne Robbins,False,,2021-10-30,,9,99479,105226698752,106300440576,107374182400,0,0,32212254720,False,30
2021-12-28,LidiaH@s5fr.onmicrosoft.com,Lidia Holloway,False,,2021-10-30,,9,88767,105226698752,106300440576,107374182400,0,0,32212254720,False,30
2021-12-28,admin@s5fr.onmicrosoft.com,FNU LNU,False,,2021-10-30,2021-12-23,251,9375196,105226698752,106300440576,107374182400,15,88940,32212254720,False,30
2021-12-28,MeganB@s5fr.onmicrosoft.com,Megan Bowen,False,,2021-10-30,,9,110983,105226698752,106300440576,107374182400,0,0,32212254720,False,30
2021-12-28,JoniS@s5fr.onmicrosoft.com,Joni Sherman,False,,2021-10-30,,9,112358,105226698752,106300440576,107374182400,0,0,32212254720,False,30
2021-12-28,PattiF@s5fr.onmicrosoft.com,Patti Fernandez,False,,2021-10-30,2021-10-30,16,736692,105226698752,106300440576,107374182400,3,15544,32212254720,False,30
2021-12-28,AdeleV@s5fr.onmicrosoft.com,Adele Vance,False,,2021-10-30,,9,106850,105226698752,106300440576,107374182400,0,0,32212254720,False,30
2021-12-28,IsaiahL@s5fr.onmicrosoft.com,Isaiah Langer,False,,2021-10-30,2021-10-30,16,707379,105226698752,106300440576,107374182400,3,15240,32212254720,False,30
2021-12-28,LeeG@s5fr.onmicrosoft.com,Lee Gu,False,,2021-10-30,2021-10-30,19,754420,105226698752,106300440576,107374182400,5,24621,32212254720,False,30
2021-12-28,AlexW@s5fr.onmicrosoft.com,Alex Wilber,False,,2021-10-30,2021-10-30,16,727352,105226698752,106300440576,107374182400,3,15173,32212254720,False,30
2021-12-28,DiegoS@s5fr.onmicrosoft.com,Diego Siciliani,False,,2021-10-30,2021-10-30,16,726792,105226698752,106300440576,107374182400,3,15288,32212254720,False,30
2021-12-28,HenriettaM@s5fr.onmicrosoft.com,Henrietta Mueller,False,,2021-10-30,,9,98532,105226698752,106300440576,107374182400,0,0,32212254720,False,30
2021-12-28,JohannaL@s5fr.onmicrosoft.com,Johanna Lorenz,False,,2021-10-30,,9,89168,105226698752,106300440576,107374182400,0,0,32212254720,False,30
2021-12-28,NestorW@s5fr.onmicrosoft.com,Nestor Wilke,False,,2021-10-30,2021-10-30,22,852769,105226698752,106300440576,107374182400,7,33683,32212254720,False,30
2021-12-28,GradyA@s5fr.onmicrosoft.com,Grady Archie,False,,2021-10-30,,9,85711,105226698752,106300440576,107374182400,0,0,32212254720,False,30
2021-12-28,MiriamG@s5fr.onmicrosoft.com,Miriam Graham,False,,2021-10-30,2021-10-30,21,846550,105226698752,106300440576,107374182400,6,29442,32212254720,False,30
2021-12-28,PradeepG@s5fr.onmicrosoft.com,Pradeep Gupta,False,,2021-10-30,,9,93394,105226698752,106300440576,107374182400,0,0,32212254720,False,30
