Report Refresh Date,User Principal Name,Display Name,Product Type,Last Activated Date,Windows,Mac,Windows 10 Mobile,iOS,Android,Activated On Shared Computer
2021-12-28,MeganB@s5fr.onmicrosoft.com,Megan Bowen,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,MeganB@s5fr.onmicrosoft.com,Megan Bowen,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,JoniS@s5fr.onmicrosoft.com,Joni Sherman,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,JoniS@s5fr.onmicrosoft.com,Joni Sherman,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,LynneR@s5fr.onmicrosoft.com,Lynne Robbins,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,LynneR@s5fr.onmicrosoft.com,Lynne Robbins,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,IsaiahL@s5fr.onmicrosoft.com,Isaiah Langer,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,IsaiahL@s5fr.onmicrosoft.com,Isaiah Langer,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,AlexW@s5fr.onmicrosoft.com,Alex Wilber,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,AlexW@s5fr.onmicrosoft.com,Alex Wilber,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,PradeepG@s5fr.onmicrosoft.com,Pradeep Gupta,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,PradeepG@s5fr.onmicrosoft.com,Pradeep Gupta,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,PattiF@s5fr.onmicrosoft.com,Patti Fernandez,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,PattiF@s5fr.onmicrosoft.com,Patti Fernandez,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,admin@s5fr.onmicrosoft.com,FNU LNU,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,admin@s5fr.onmicrosoft.com,FNU LNU,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,AdeleV@s5fr.onmicrosoft.com,Adele Vance,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,AdeleV@s5fr.onmicrosoft.com,Adele Vance,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,LeeG@s5fr.onmicrosoft.com,Lee Gu,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,LeeG@s5fr.onmicrosoft.com,Lee Gu,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,JohannaL@s5fr.onmicrosoft.com,Johanna Lorenz,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,JohannaL@s5fr.onmicrosoft.com,Johanna Lorenz,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,HenriettaM@s5fr.onmicrosoft.com,Henrietta Mueller,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,HenriettaM@s5fr.onmicrosoft.com,Henrietta Mueller,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,NestorW@s5fr.onmicrosoft.com,Nestor Wilke,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,NestorW@s5fr.onmicrosoft.com,Nestor Wilke,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,LidiaH@s5fr.onmicrosoft.com,Lidia Holloway,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,LidiaH@s5fr.onmicrosoft.com,Lidia Holloway,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,GradyA@s5fr.onmicrosoft.com,Grady Archie,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,GradyA@s5fr.onmicrosoft.com,Grady Archie,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,MiriamG@s5fr.onmicrosoft.com,Miriam Graham,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,MiriamG@s5fr.onmicrosoft.com,Miriam Graham,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
2021-12-28,DiegoS@s5fr.onmicrosoft.com,Diego Siciliani,MICROSOFT 365 APPS FOR ENTERPRISE,,0,0,0,0,0,False
2021-12-28,DiegoS@s5fr.onmicrosoft.com,Diego Siciliani,MICROSOFT EXCEL ADVANCED ANALYTICS,,0,0,0,0,0,False
